players,Op.K-D,Op.eK-eD,MKs,KAST,eKAST,1vsX,K(hs),eK(hs),A(f),D(t),eD(t),ADR,eADR,KAST,eKAST,Swing,Rating3.0,team
xertioN,3 : 0,3 : 0,5,81.0%,72.8%,0,18(4),17(4),4(0),11(4),11(4),95.4,89.7,81.0%,72.8%,+5.85%,1.47,MOUZ
Jimpphat,1 : 1,0 : 1,5,66.7%,57.2%,1,18(7),17(7),5(2),8(0),7(0),85.3,80.0,66.7%,57.2%,+3.09%,1.27,MOUZ
Brollan,5 : 3,5 : 2,1,81.0%,72.2%,0,11(7),12(7),4(0),11(2),11(2),62.5,65.8,81.0%,72.2%,+1.92%,1.13,MOUZ
siuhy,3 : 1,3 : 1,2,81.0%,76.8%,0,13(7),13(7),2(0),12(2),12(2),64.0,65.9,81.0%,76.8%,+1.40%,1.09,MOUZ
torzsi,2 : 2,2 : 2,2,71.4%,65.0%,0,10(2),9(2),5(4),10(2),9(2),53.7,44.9,71.4%,65.0%,+1.08%,1.02,MOUZ
JW,3 : 3,3 : 3,3,52.4%,44.4%,0,11(5),11(5),6(1),12(0),12(0),63.1,57.2,52.4%,44.4%,-1.30%,0.91,EYEBALLERS
SHiNE,0 : 2,0 : 2,2,57.1%,53.4%,2,11(7),12(7),2(0),15(2),15(2),53.0,56.0,57.1%,53.4%,+0.17%,0.85,EYEBALLERS
HEAP,2 : 2,1 : 2,2,66.7%,40.7%,0,14(8),12(8),2(0),13(2),12(2),55.4,50.6,66.7%,40.7%,-2.21%,0.79,EYEBALLERS
Sapec,2 : 4,2 : 3,2,57.1%,49.1%,0,10(6),10(6),4(1),17(2),15(2),67.0,64.4,57.1%,49.1%,-6.70%,0.57,EYEBALLERS
Peppzor,0 : 3,0 : 2,0,66.7%,48.6%,0,5(3),5(3),3(0),14(2),14(2),36.1,39.1,66.7%,48.6%,-4.35%,0.52,EYEBALLERS
