players,Op.K-D,Op.eK-eD,MKs,KAST,eKAST,1vsX,K(hs),eK(hs),A(f),D(t),eD(t),ADR,eADR,KAST,eKAST,Swing,Rating3.0,team
Perfecto,2 : 0,2 : 0,4,100.0%,99.4%,0,17(9),17(9),6(0),6(3),5(3),94.5,93.7,100.0%,99.4%,+8.40%,2.03,Cloud9
electroNic,1 : 2,0 : 2,6,94.4%,99.6%,0,18(8),17(8),9(2),8(4),7(4),107.8,104.0,94.4%,99.6%,+7.76%,1.95,Cloud9
Boombl4,3 : 1,3 : 1,3,94.4%,81.1%,0,16(6),17(6),6(0),9(4),9(4),91.2,94.0,94.4%,81.1%,+2.92%,1.53,Cloud9
HObbit,3 : 4,2 : 4,3,88.9%,84.5%,0,16(6),14(6),3(2),11(7),12(8),88.9,81.1,88.9%,84.5%,+4.16%,1.37,Cloud9
Ax1Le,0 : 2,0 : 2,1,83.3%,76.9%,0,9(1),9(1),2(1),8(3),8(3),45.4,46.2,83.3%,76.9%,-3.28%,0.86,Cloud9
F1KU,0 : 1,0 : 1,2,61.1%,57.6%,2,8(5),9(5),3(0),12(1),11(1),51.4,55.8,61.1%,57.6%,-3.21%,0.83,OG
regali,2 : 2,2 : 2,1,55.6%,66.0%,0,7(3),6(3),3(1),16(2),16(2),55.2,51.5,55.6%,66.0%,-2.08%,0.69,OG
Nexius,4 : 3,4 : 3,1,61.1%,59.0%,0,11(6),10(6),1(0),16(4),16(4),67.8,65.9,61.1%,59.0%,-4.66%,0.67,OG
k1to,1 : 1,1 : 0,0,72.2%,74.2%,0,6(4),6(4),4(2),15(3),14(3),40.4,41.8,72.2%,74.2%,-5.51%,0.60,OG
HeavyGod,2 : 2,2 : 2,2,50.0%,47.6%,0,10(5),10(5),1(0),17(3),17(4),60.8,58.0,50.0%,47.6%,-4.50%,0.58,OG
