players,Op.K-D,Op.eK-eD,MKs,KAST,eKAST,1vsX,K(hs),eK(hs),A(f),D(t),eD(t),ADR,eADR,KAST,eKAST,Swing,Rating3.0,team
donk,5 : 3,5 : 3,6,63.6%,55.8%,0,19(11),19(11),7(1),20(2),20(2),110.5,110.3,63.6%,55.8%,+3.72%,1.37,Spirit
magixx,2 : 0,2 : 0,4,72.7%,58.6%,0,16(7),16(7),6(1),13(2),13(3),80.3,82.9,72.7%,58.6%,-1.67%,1.01,Spirit
chopper,1 : 4,1 : 4,3,72.7%,72.7%,0,12(5),12(5),3(0),14(3),13(2),52.1,51.9,72.7%,72.7%,+0.48%,1.00,Spirit
sh1ro,0 : 3,0 : 2,2,77.3%,69.6%,0,16(6),14(6),3(1),14(1),14(1),65.2,57.6,77.3%,69.6%,-6.01%,0.75,Spirit
zont1x,1 : 3,1 : 3,1,77.3%,70.0%,0,8(3),8(3),14(1),18(2),17(2),65.3,67.7,77.3%,70.0%,-5.80%,0.63,Spirit
stadodo,4 : 0,4 : 0,5,63.6%,52.8%,0,19(6),17(6),10(8),13(0),13(0),78.7,71.6,63.6%,52.8%,+8.66%,1.54,KOI
adamS,3 : 4,3 : 4,5,72.7%,64.1%,1,19(6),19(6),3(1),14(3),14(3),81.5,80.1,72.7%,64.1%,+4.24%,1.31,KOI
mopoz,2 : 1,2 : 1,3,90.9%,82.9%,1,13(7),14(7),7(1),13(4),12(3),72.9,71.9,90.9%,82.9%,+1.50%,1.21,KOI
dav1g,1 : 3,1 : 3,3,77.3%,68.5%,0,15(4),14(4),7(1),15(4),14(4),73.9,71.7,77.3%,68.5%,-2.70%,0.89,KOI
JUST,3 : 1,3 : 0,2,68.2%,54.3%,0,12(7),11(7),5(0),17(2),16(2),76.7,73.7,68.2%,54.3%,-2.53%,0.74,KOI
