players,Op.K-D,Op.eK-eD,MKs,KAST,eKAST,1vsX,K(hs),eK(hs),A(f),D(t),eD(t),ADR,eADR,KAST,eKAST,Swing,Rating3.0,team
drop,5 : 1,5 : 1,11,86.8%,82.5%,1,37(18),38(18),14(3),17(7),15(7),107.9,110.2,86.8%,82.5%,+8.10%,1.87,MIBR
insani,3 : 3,3 : 3,9,76.3%,73.8%,0,34(21),34(21),11(2),21(4),21(5),95.3,91.4,76.3%,73.8%,+4.00%,1.41,MIBR
exit,5 : 1,5 : 1,5,78.9%,71.9%,0,26(14),26(14),9(1),20(3),20(3),74.5,75.0,78.9%,71.9%,+0.73%,1.14,MIBR
saffee,5 : 3,3 : 3,5,81.6%,70.0%,0,26(8),23(8),7(2),16(5),17(5),70.2,60.2,81.6%,70.0%,+1.57%,1.13,MIBR
brnz4n,4 : 8,3 : 8,5,81.6%,80.1%,0,23(13),21(13),6(2),21(7),20(7),55.8,51.1,81.6%,80.1%,+0.21%,1.02,MIBR
gafolo,1 : 3,1 : 2,4,65.8%,64.0%,1,25(7),26(7),7(4),25(4),26(5),67.2,67.8,65.8%,64.0%,-0.22%,0.97,Sharks
drg,6 : 4,6 : 3,3,57.9%,61.7%,0,20(13),22(13),3(0),33(5),31(6),63.2,66.9,57.9%,61.7%,-1.50%,0.82,Sharks
doc,5 : 6,5 : 6,5,55.3%,48.0%,0,18(9),18(9),6(0),30(4),29(4),66.8,70.1,55.3%,48.0%,-4.57%,0.70,Sharks
rdnzao,2 : 5,2 : 4,2,50.0%,48.6%,0,12(6),13(6),3(0),29(6),27(6),44.1,48.3,50.0%,48.6%,-3.82%,0.65,Sharks
togs,2 : 4,2 : 4,3,50.0%,44.5%,1,15(5),14(5),5(1),29(1),28(1),53.6,54.2,50.0%,44.5%,-4.51%,0.58,Sharks
