players,Op.K-D,Op.eK-eD,MKs,KAST,eKAST,1vsX,K(hs),eK(hs),A(f),D(t),eD(t),ADR,eADR,KAST,eKAST,Swing,Rating3.0,team
fame,2 : 4,3 : 3,6,86.4%,85.2%,0,22(15),24(15),2(1),14(6),14(6),96.3,103.7,86.4%,85.2%,+5.83%,1.72,Virtus.pro
FL1T,2 : 1,2 : 1,3,81.8%,61.9%,0,14(7),14(7),5(1),13(4),13(5),79.0,79.0,81.8%,61.9%,+6.04%,1.31,Virtus.pro
n0rb3r7,4 : 1,4 : 1,3,77.3%,70.8%,1,14(4),14(4),5(1),13(2),12(2),70.5,69.8,77.3%,70.8%,+3.33%,1.20,Virtus.pro
Jame,3 : 2,2 : 2,2,86.4%,76.0%,0,12(3),10(3),6(3),10(3),11(3),56.8,50.4,86.4%,76.0%,-3.78%,0.85,Virtus.pro
mir,0 : 2,0 : 2,3,59.1%,59.6%,1,12(4),12(4),6(2),13(2),14(2),58.7,61.1,59.1%,59.6%,-3.23%,0.82,Virtus.pro
oskar,2 : 0,2 : 0,1,90.9%,63.6%,1,14(4),12(4),4(1),11(2),13(3),72.4,63.5,90.9%,63.6%,+4.73%,1.12,SINNERS
beastik,1 : 3,1 : 2,4,63.6%,62.7%,0,11(5),12(5),8(1),17(5),16(5),70.2,74.6,63.6%,62.7%,-4.20%,0.90,SINNERS
AJTT,0 : 1,0 : 1,4,72.7%,72.4%,1,12(5),13(5),4(2),13(2),12(1),50.1,53.7,72.7%,72.4%,-4.09%,0.89,SINNERS
SHOCK,3 : 3,2 : 3,2,63.6%,63.0%,0,12(5),13(5),8(0),18(2),17(1),74.7,78.6,63.6%,63.0%,-0.57%,0.86,SINNERS
NEOFRAG,4 : 4,4 : 4,2,77.3%,57.1%,0,13(3),13(3),3(0),15(4),16(4),60.7,61.3,77.3%,57.1%,-4.05%,0.73,SINNERS
