players,Op.K-D,Op.eK-eD,MKs,KAST,eKAST,1vsX,K(hs),eK(hs),A(f),D(t),eD(t),ADR,eADR,KAST,eKAST,Swing,Rating3.0,team
insani,7 : 10,7 : 9,13,67.2%,67.4%,0,43(19),44(19),15(4),42(9),39(10),75.6,77.2,67.2%,67.4%,+1.63%,1.13,MIBR
drop,5 : 7,5 : 6,7,68.8%,68.0%,1,33(21),35(21),11(2),45(10),42(10),62.3,65.1,68.8%,68.0%,-0.86%,0.94,MIBR
saffee,7 : 9,7 : 10,12,62.5%,63.7%,1,40(15),40(15),12(7),44(3),45(3),63.6,63.2,62.5%,63.7%,+0.17%,0.94,MIBR
exit,5 : 0,5 : 0,8,68.8%,61.6%,0,32(14),33(14),16(7),41(8),40(8),57.1,58.0,68.8%,61.6%,-1.82%,0.83,MIBR
brnz4n,6 : 8,6 : 7,8,62.5%,57.1%,0,28(12),29(12),12(1),45(8),44(8),53.0,54.7,62.5%,57.1%,-3.20%,0.74,MIBR
MartinezSa,9 : 4,8 : 4,12,82.8%,70.9%,3,49(19),46(19),8(4),27(4),28(5),69.1,63.4,82.8%,70.9%,+6.50%,1.46,9z
dgt,8 : 4,8 : 4,12,78.1%,72.0%,0,49(25),50(25),13(1),33(5),33(5),83.2,84.1,78.1%,72.0%,+0.22%,1.15,9z
max,8 : 9,9 : 10,10,75.0%,66.1%,0,40(23),41(23),19(1),37(5),38(6),71.5,72.2,75.0%,66.1%,+1.43%,1.10,9z
HUASOPEEK,6 : 7,5 : 6,11,70.3%,66.8%,0,43(23),39(23),15(2),38(6),38(6),73.2,67.8,70.3%,66.8%,-1.52%,1.00,9z
buda,3 : 6,2 : 6,7,76.6%,68.8%,0,32(16),30(16),11(0),44(13),45(14),56.5,55.6,76.6%,68.8%,-2.55%,0.83,9z
